byte: 4 | bit: 9 | key guess: 00 | Cor: 0.305144 ==> correct key: 0.305144
byte: 4 | bit: 10 | key guess: 00 | Cor: 0.250122 ==> correct key: 0.250122
byte: 4 | bit: 11 | key guess: 00 | Cor: 0.367288 ==> correct key: 0.367288
byte: 4 | bit: 12 | key guess: 00 | Cor: 0.281801 ==> correct key: 0.281801
byte: 4 | bit: 13 | key guess: 00 | Cor: 0.234834 ==> correct key: 0.234834
byte: 4 | bit: 14 | key guess: 00 | Cor: 0.221468 ==> correct key: 0.221468
byte: 4 | bit: 15 | key guess: 00 | Cor: 0.289071 ==> correct key: 0.289071
byte: 4 | bit: 16 | key guess: 00 | Cor: 0.274116 ==> correct key: 0.274116
byte: 4 | bit: 17 | key guess: 00 | Cor: 0.265917 ==> correct key: 0.265917
byte: 4 | bit: 18 | key guess: 4c | Cor: 0.312008 ==> correct key: 0.271869
byte: 4 | bit: 19 | key guess: 14 | Cor: 0.305783 ==> correct key: 0.298471
byte: 4 | bit: 20 | key guess: c2 | Cor: 0.341864 ==> correct key: 0.341864
byte: 4 | bit: 21 | key guess: f9 | Cor: 0.343247 ==> correct key: 0.236956
byte: 4 | bit: 22 | key guess: c2 | Cor: 0.304669 ==> correct key: 0.304669
byte: 4 | bit: 23 | key guess: da | Cor: 0.301961 ==> correct key: 0.260838
byte: 4 | bit: 24 | key guess: 58 | Cor: 0.322496 ==> correct key: 0.269004
byte: 4 | bit: 25 | key guess: c5 | Cor: 0.316261 ==> correct key: 0.247942
byte: 4 | bit: 26 | key guess: c2 | Cor: 0.297527 ==> correct key: 0.297527
byte: 4 | bit: 27 | key guess: be | Cor: 0.316472 ==> correct key: 0.280857
byte: 4 | bit: 28 | key guess: f3 | Cor: 0.313112 ==> correct key: 0.261898
byte: 4 | bit: 29 | key guess: 00 | Cor: 0.265755 ==> correct key: 0.265755
byte: 4 | bit: 30 | key guess: 24 | Cor: 0.309804 ==> correct key: 0.305783
byte: 4 | bit: 31 | key guess: 00 | Cor: 0.289780 ==> correct key: 0.289780
byte: 4 | bit: 32 | key guess: c2 | Cor: 0.310518 ==> correct key: 0.310518
byte: 4 | bit: 33 | key guess: 00 | Cor: 0.251106 ==> correct key: 0.251106
byte: 4 | bit: 34 | key guess: 55 | Cor: 0.292876 ==> correct key: 0.232991
byte: 4 | bit: 35 | key guess: 00 | Cor: 0.251976 ==> correct key: 0.251976
byte: 4 | bit: 36 | key guess: 4c | Cor: 0.352751 ==> correct key: 0.258815
byte: 4 | bit: 37 | key guess: 00 | Cor: 0.305144 ==> correct key: 0.305144
byte: 4 | bit: 38 | key guess: c2 | Cor: 0.297527 ==> correct key: 0.297527
byte: 4 | bit: 39 | key guess: 00 | Cor: 0.367288 ==> correct key: 0.367288
byte: 4 | bit: 40 | key guess: c2 | Cor: 0.312172 ==> correct key: 0.312172
byte: 4 | bit: 41 | key guess: 00 | Cor: 0.234834 ==> correct key: 0.234834
byte: 4 | bit: 42 | key guess: b8 | Cor: 0.307212 ==> correct key: 0.293493
byte: 4 | bit: 43 | key guess: 00 | Cor: 0.289071 ==> correct key: 0.289071
byte: 4 | bit: 44 | key guess: d6 | Cor: 0.308111 ==> correct key: 0.226524
byte: 4 | bit: 45 | key guess: 00 | Cor: 0.265917 ==> correct key: 0.265917
byte: 4 | bit: 46 | key guess: f3 | Cor: 0.313112 ==> correct key: 0.261898
byte: 4 | bit: 47 | key guess: 00 | Cor: 0.243446 ==> correct key: 0.243446
byte: 4 | bit: 48 | key guess: 24 | Cor: 0.309804 ==> correct key: 0.305783
byte: 4 | bit: 49 | key guess: 00 | Cor: 0.281387 ==> correct key: 0.281387
byte: 4 | bit: 50 | key guess: c2 | Cor: 0.310518 ==> correct key: 0.310518
byte: 4 | bit: 51 | key guess: 00 | Cor: 0.273847 ==> correct key: 0.273847
byte: 4 | bit: 52 | key guess: 55 | Cor: 0.292876 ==> correct key: 0.232991
byte: 4 | bit: 53 | key guess: 00 | Cor: 0.297202 ==> correct key: 0.297202
